"UTM Easting","UTM Northing","Cotton Yield"
713197,6787247,8.77353280613778
713197,6787245,8.58956942538782
713197,6787243,8.43162458604539
713197,6787241,8.27367974670296
713197,6787239,8.11573490736054
713197,6787237,8.19379053158314
713197,6787235,8.21980907299068
713197,6787233,8.16302438346844
713197,6787231,8.06838323426471
713197,6787229,7.63249211728796
713197,6787227,7.32648147497663
713197,6787225,7.15035130733071
713197,6787223,7.09594606653973
713197,6787221,7.07939728543025
713197,6787219,7.40409847209377
713197,6787217,7.58389065995162
713197,6787215,7.51850302158777
713197,6787213,7.43399075712097
713197,6787211,7.38394089228586
713197,6787209,7.35628149202902
713197,6787207,7.33466200399441
713197,6787205,7.48779137919163
713197,6787203,7.61099517538412
713197,6787201,7.66669606235541
713197,6787199,7.69551494329745
713197,6787197,7.47660954738989
713197,6787195,7.20229433983861
713197,6787193,6.87258837567404
713197,6787191,6.62418855733148
713197,6787189,6.42366407923097
713197,6787187,6.522695370956
713197,6787185,6.62329390880544
713197,6787183,7.00339245044081
713197,6787181,7.2819088935844
713197,6787179,7.53998154567944
713197,6787177,7.78051126965932
713197,6787175,7.98955203147642
713197,6787173,8.04668323903627
713197,6787171,8.14097450079766
713197,6787169,8.24751082375085
713197,6787167,8.21890906418597
713197,6787165,8.17206152907945
713197,6787163,8.0533719953178
713197,6787161,7.93736028009312
713197,6787159,7.75529782007125
713197,6787157,7.67059224260098
713197,6787155,7.65180359489784
713197,6787153,7.63680161358416
713197,6787151,7.6518682696145
713197,6787149,7.6797372767277
713197,6787147,7.73704726073032
713197,6787145,7.76618957527621
713197,6787143,7.7803721272214
713199,6787297,7.95335928682066
713199,6787295,7.80422408375336
713199,6787293,7.76291395641345
713199,6787291,7.72160382907353
713199,6787289,7.67512993581613
713199,6787287,7.63563790935965
713199,6787285,7.60053388584278
713199,6787283,7.60173828112236
713199,6787281,7.53348992746806
713199,6787279,7.3961125061113
713199,6787277,7.34002211495168
713199,6787275,7.3841260783656
713199,6787273,7.42422059056007
713199,6787271,7.54376141585461
713199,6787269,7.72558432014542
713199,6787267,7.82680200997121
713199,6787265,7.86152254580938
713199,6787263,7.89624308164754
713199,6787261,7.9101312959828
713199,6787259,7.9101312959828
713199,6787257,8.15195601188117
713199,6787255,8.37183640662517
713199,6787253,8.59171680136917
713199,6787251,8.81159719611317
713199,6787249,9.03147759085718
713199,6787247,8.74751426473024
713199,6787245,8.53753234257275
713199,6787243,8.37958750323032
713199,6787241,8.2216426638879
713199,6787239,8.06369782454547
713199,6787237,8.16777199017561
713199,6787235,8.20088084314993
713199,6787233,8.12516792378695
713199,6787231,8.03052677458321
713199,6787229,7.67400286306552
713199,6787227,7.37619088885757
713199,6787225,7.2206883236496
713199,6787223,7.18840659249847
713199,6787221,7.17183012134242
713199,6787219,7.41136689458543
713199,6787217,7.57082137342949
713199,6787215,7.50906575155244
713199,6787213,7.40706218592818
713199,6787211,7.35776721777478
