UTM_Easting,UTM_Northing,Cotton Yield
714367,6787871,9.370242623
714367,6787869,9.437703684
714367,6787867,9.497783162
714367,6787865,9.377949021
714367,6787863,9.256749129
714367,6787861,9.194409753
714367,6787859,9.166426906
714367,6787857,9.220678601
714367,6787855,9.456617391
714367,6787853,9.809857989
714367,6787851,10.14173945
714367,6787849,10.09541848
714367,6787847,9.980384456
714367,6787845,9.71432069
714367,6787843,9.460065212
714367,6787841,9.265536684
714367,6787839,9.414854061
714367,6787837,9.564171439
714367,6787835,9.752864863
714367,6787833,9.891343908
714367,6787831,10.06033278
714367,6787829,10.13215575
714367,6787827,10.21834331
714367,6787825,10.26899471
714367,6787823,10.05159615
714367,6787821,9.597068138
714367,6787819,9.352093599
714367,6787817,9.134338453
714367,6787815,8.939504901
714367,6787813,8.939504901
714367,6787811,8.939504901
714367,6787809,8.939504901
714367,6787807,8.848134714
714367,6787805,8.73065876
714369,6787893,7.140782018
714369,6787891,7.389591519
714369,6787889,7.575548341
714369,6787887,7.805649621
714369,6787885,8.181092561
714369,6787883,8.711933097
714369,6787881,9.034204805
714369,6787879,9.223118691
714369,6787877,9.405892676
714369,6787875,9.512360653
714369,6787873,9.522059763
714369,6787871,9.494257493
714369,6787869,9.596887743
714369,6787867,9.681147893
714369,6787865,9.672025429
714369,6787863,9.528396598
714369,6787861,9.44582127
714369,6787859,9.397602472
714369,6787857,9.435250605
714369,6787855,9.694331088
714369,6787853,10.00805202
714369,6787851,10.29822082
714369,6787849,10.22189502
714369,6787847,10.08421228
714369,6787845,9.73773633
714369,6787843,9.547103463
714369,6787841,9.386334072
714369,6787839,9.52394363
714369,6787837,9.661553187
714369,6787835,9.889622658
714369,6787833,10.00385514
714369,6787831,10.16697624
714369,6787829,10.23926466
714369,6787827,10.31783904
714369,6787825,10.31406553
714369,6787823,10.0453438
714369,6787821,9.612459983
714369,6787819,9.369325423
714369,6787817,9.147332999
714369,6787815,8.943839943
714369,6787813,8.939504901
714369,6787811,8.939504901
714369,6787809,8.907723966
714369,6787807,8.80027414
714369,6787805,8.670203297
714369,6787803,8.509527551
714369,6787801,8.345598686
714369,6787799,8.208543406
714369,6787797,8.308296939
714369,6787795,8.577060902
714371,6787895,7.417858018
714371,6787893,7.351121577
714371,6787891,7.607936829
714371,6787889,7.778707972
714371,6787887,7.996376378
714371,6787885,8.340782542
714371,6787883,8.81882301
714371,6787881,9.025890498
714371,6787879,9.17345248
714371,6787877,9.280473959
714371,6787875,9.35687737
714371,6787873,9.494612501
714371,6787871,9.613596942
714371,6787869,9.789161588
714371,6787867,9.984505522
714371,6787865,10.07816631
714371,6787863,9.91959058
714371,6787861,9.773941537
714371,6787859,9.662649023
714371,6787857,9.612936425
714371,6787855,9.842962487
714371,6787853,10.14093404
714371,6787851,10.4447296
714371,6787849,10.31030269
714371,6787847,10.13505708
714371,6787845,9.772072891
714371,6787843,9.579473775
714371,6787841,9.386874659
714371,6787839,9.564382344
714371,6787837,9.771574689
714371,6787835,10.02731239
714371,6787833,10.14136605
714371,6787831,10.26883133
714371,6787829,10.32619804
714371,6787827,10.35388008
714371,6787825,10.30281003
714371,6787823,9.986886947
714371,6787821,9.649228968
714371,6787819,9.415428706
714371,6787817,9.181628444
714371,6787815,8.947828182
714371,6787813,8.939504901
714371,6787811,8.939504901
714371,6787809,8.881027981
714371,6787807,8.756764527
714371,6787805,8.621695555
714371,6787803,8.474347586
714371,6787801,8.312966476
714371,6787799,8.243457142
714371,6787797,8.355548612
714371,6787795,8.646563735
714371,6787793,8.97181593
714371,6787791,9.337724649
714371,6787789,9.691600774
714371,6787787,9.905632402
714373,6787895,7.926046787
714373,6787893,7.910839359
714373,6787891,8.164849432
714373,6787889,8.34200953
714373,6787887,8.564894765
714373,6787885,8.922508766
714373,6787883,9.224732849
714373,6787881,9.262809786
714373,6787879,9.273719865
714373,6787877,9.244851225
714373,6787875,9.219861419
714373,6787873,9.459158396
714373,6787871,9.71023669
714373,6787869,9.985556538
714373,6787867,10.25415562
714373,6787865,10.46521059
714373,6787863,10.34378631
714373,6787861,10.16003513
714373,6787859,10.01064047
714373,6787857,9.897577471
714373,6787855,10.01119388
714373,6787853,10.19746318
714373,6787851,10.44605938
714373,6787849,10.29683483
